username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
imanavg,13-06-2016 17:08,0,1,"@KOLLAPARAMBILRA @sambitswaraj @ZeeNews Just curious are you a #Chamcha , Err I mean AAP follower ? Your diversionary tactics are like Kejri.",,@KOLLAPARAMBILRA @sambitswaraj @ZeeNews,#Chamcha,7.42E+17,https://twitter.com/imanavg/status/742320206844858368
Anuj_AAP,13-06-2016 03:51,0,0,Just the one new follower today found welcome tracked by http:// unfollowspy.com,,,,7.42E+17,https://twitter.com/Anuj_AAP/status/742119633877012480
mukundan_t,12-06-2016 17:47,0,0,@pcgeorgepoonjar Dear Mr. P.C I am an ardent follower of you. I am a member of AAP from Mumbai. I criticize anyone who do wrong,,@pcgeorgepoonjar,,7.42E+17,https://twitter.com/mukundan_t/status/741967579053318144
RaJa_SmS_505,11-06-2016 20:40,0,0,"""Main Yeh Nahi Kehta K Meri Khair Khabr Pucho"" > >Ay Follower ,s > "" Aap Khud Kis Hall Main Hai Itna To Bata Diya Karo. 0wner A GHANI KATYAR",,,,7.42E+17,https://twitter.com/RaJa_SmS_505/status/741648889183371264
ms_alert,11-06-2016 18:23,0,0,/ Welcome back Aslam 0 aliekum My dear follower 's Kse hein aap ...? Editor:MS Rahimoon Director:Ahsan Shar #0313-5162951,,,#0313,7.42E+17,https://twitter.com/ms_alert/status/741614304106020864
Amit_knc2015,11-06-2016 17:31,0,0,@Tarun_75 she is biased n follower of aap party,,@Tarun_75,,7.42E+17,https://twitter.com/Amit_knc2015/status/741601302971621380
OyeImli,11-06-2016 16:33,0,0,@Zrahatk ahan yani k aap ki sab se pahle follower bannay ka izaz mujh ko mile wala hai,,@Zrahatk,,7.42E+17,https://twitter.com/OyeImli/status/741586773743132672
abhish__1,11-06-2016 02:33,0,0,@sardesairajdeep ha..haa.. i'm amazed that a person with 3.91M follower shares a tweet of a person with 468 followers. #Got next AAP leader,,@sardesairajdeep,#Got,7.41E+17,https://twitter.com/abhish__1/status/741375216392097792
BaghelRj,10-06-2016 14:26,0,0,Is waqt mahol khuch aisa hai ki ager aap modi ji ke follower nahi hai to aap na to Hindustani hai na desh bhakt!!,,,,7.41E+17,https://twitter.com/BaghelRj/status/741192392141770752
Barasti_Aankhen,10-06-2016 12:31,0,2,@devilmay_laugh tweets aap ki sirf 475 aor itny zyada follower kaise bana liye aap nay Aor na hi ap ki tweets pe koi like hota hai,,@devilmay_laugh,,7.41E+17,https://twitter.com/Barasti_Aankhen/status/741163431869485056
dinesht64470738,10-06-2016 11:47,0,0,CM SHAB G Jo Uttam Prdesh me ho rha hai Acha ni.Jaise plant lgega vaisa fruit aap Ko mlega dn't wrry @UPCM_ Follower https:// twitter.com/ZeeNewsHindi/s tatus/740978196338728960 …,,@UPCM_,,7.41E+17,https://twitter.com/dinesht64470738/status/741152360689438720
Anuj_AAP,10-06-2016 03:52,0,0,Just the one new follower today found welcome tracked by http:// unfollowspy.com,,,,7.41E+17,https://twitter.com/Anuj_AAP/status/741032698660065284
punj_aap,10-06-2016 02:16,0,2,tum logon me conscience marr gayee hai. Modi jaise aadmi ke follower tabhi ban sakte ho https:// twitter.com/Sarcaism_/stat us/741007974106333184 …,,,,7.41E+17,https://twitter.com/punj_aap/status/741008488197988352
Rajeev80899517,10-06-2016 00:51,0,0,@khushi3424 Aapki language se pata chalta hai aapki education aur background ka.No wonder you are a follower of AAP .,,@khushi3424,,7.41E+17,https://twitter.com/Rajeev80899517/status/740987270585450496
Nasirsahb,09-06-2016 23:17,0,1,@aisha_shabbir @Mashwani001 aap copy paste wali baat ko ignore kr rahi hain :p Naam azhar aur nasir ho to nhn barhtey follower :p,,@aisha_shabbir @Mashwani001,,7.41E+17,https://twitter.com/Nasirsahb/status/740963512789401600
RaJa_SmS_505,09-06-2016 20:47,0,0,"Mere Dil Mein Uttar Sako To Ye Jaan Logy Shayed. Ay Follower ,s Kitni Khamosh Mubabbat Aap Se Karta Hun Mein. RAJA KANDRA",,,,7.41E+17,https://twitter.com/RaJa_SmS_505/status/740925734924001280
