username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
USbreastfeeding,2016-12-13 09:00,1,1,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.08514282149315E+017,https://twitter.com/USbreastfeeding/status/808514282149314560,,
mswami,2016-12-12 20:00,3,3,Congress prick with one follower !Sucking dick of RahulG can affect brain https:// twitter.com/sharma33manish /status/808316075628560384 …,,,,8.08318133052129E+017,https://twitter.com/mswami/status/808318133052129280,,
NaveenS88376891,2016-12-12 19:47,0,0,"@naam_pk U are follower of that stupid Kejri,,who was criticizing congress , SP, BSP,,Lalu,, all these before joining politics.",,@naam_pk,,8.08314859565658E+017,https://twitter.com/NaveenS88376891/status/808314859565658112,,
meghaa358,2016-12-12 10:59,1,7,@myvotetoday ur bias media.shame on this type of yellow journalism.U r follower of BJP and anti- congress,,@myvotetoday,,8.08182047223284E+017,https://twitter.com/meghaa358/status/808182047223283712,,
USbreastfeeding,2016-12-12 09:00,2,3,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.08151894472462E+017,https://twitter.com/USbreastfeeding/status/808151894472462337,,
KbfcBaba,2016-12-11 16:44,0,0,"@KishanChandCss LolnHahaahh wat an idiot,pure congress follower",,@KishanChandCss,,8.07906306518647E+017,https://twitter.com/KbfcBaba/status/807906306518646786,,
RightGlockMom,2016-12-11 09:33,0,0,Long time follower on Youtube THRILLED you are going to Congress Here's a favorite https://www. youtube.com/watch?v=fCo4xJ ynCZ8 … https:// twitter.com/CaptClayHiggin s/status/807793629960007684 …,,,,8.07797827950801E+017,https://twitter.com/RightGlockMom/status/807797827950800896,,
USbreastfeeding,2016-12-11 09:00,1,0,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.07789508032917E+017,https://twitter.com/USbreastfeeding/status/807789508032917504,,
anuknmiet,2016-12-11 00:10,0,0,@sunny_ congress chopper scam sanghiyon ne Kia..Wah re genius..oh..U r follower of RaGa..then fine..,,@sunny_,,8.07656326159598E+017,https://twitter.com/anuknmiet/status/807656326159597569,,
aroesta,2016-12-10 16:03,0,2,Congress is a follower not a leader. Trump and his administration will lead them https:// twitter.com/WillDarrell/st atus/806931310983856128 …,,,,8.07533678045856E+017,https://twitter.com/aroesta/status/807533678045855744,,
goonerblues,2016-12-10 15:58,0,0,"Cyber Congress , INC FB Soldiers, INConline, INCIOnline , I am Congress , Congress follower , Revive Congress , K M Brigade. Any more additions?",,,,8.07532421025563E+017,https://twitter.com/goonerblues/status/807532421025562624,,
rmshah1961,2016-12-09 16:38,0,0,"@bhak_sala @drajoykumar No, he was . At present he is a TRUE congress man, a true follower of RAGA. Majboori",,@bhak_sala @drajoykumar,,8.07180151398207E+017,https://twitter.com/rmshah1961/status/807180151398207488,,
shubh_sri23,2016-12-09 14:20,0,0,@sardanarohit I m BJP Follower & I am proudly bhakht but what about congress follower ???,,@sardanarohit,,8.07145440525304E+017,https://twitter.com/shubh_sri23/status/807145440525303809,,
freethinker8686,2016-12-09 11:54,0,0,Ardent @TimesNow follower .....disappointed with sudden @TimesNow pro congress inclination! #wakeup,,@TimesNow @TimesNow,#wakeup,8.07108590003769E+017,https://twitter.com/freethinker8686/status/807108590003769345,,
arushseth,2016-12-09 09:06,0,2,@JM_Scindia happy to see u someday leading the Congress & not someone's Shadow's/ follower .A strong opp is betr dan @OfficeOfRG,,@JM_Scindia @OfficeOfRG,,8.07066413483442E+017,https://twitter.com/arushseth/status/807066413483442176,,
USbreastfeeding,2016-12-09 09:00,1,1,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.07064729080463E+017,https://twitter.com/USbreastfeeding/status/807064729080463362,,
CareyCuprisin,2016-12-09 02:31,0,1,one sign of a healthy democracy will be when we have a serious effort in Congress to reform ERISA **watches follower count drop** screw u,,,,8.06966920297804E+017,https://twitter.com/CareyCuprisin/status/806966920297803776,,
irajdeep,2016-12-09 00:01,1,2,"@SalmanNizami_ ""Jan Dhan Congress Scheme"" ROFL !!! A True Follower of #PaPPu !",,@SalmanNizami_,#PaPPu,8.0692928059274E+017,https://twitter.com/irajdeep/status/806929280592740352,,
agarwal_gc,2016-12-08 21:28,0,0,@dna is JDU a follower /subordinate party to Congress . Senior JDU leaders seen following pappu...,,@dna,,8.06890661626581E+017,https://twitter.com/agarwal_gc/status/806890661626580992,,
raaheel03,2016-12-08 17:17,0,0,@OfficeOfRG Sir keep fighting like this i am a huge follower of you and congress party,,@OfficeOfRG,,8.06827417377522E+017,https://twitter.com/raaheel03/status/806827417377521664,,
diyakhatri09876,2016-12-08 11:45,0,0,@rohan4747 keep it up rohan .I m sure.u will win in bb10.nd congress of 30.1 k follower . pic.twitter.com/JtDjxHo6AD,,@rohan4747,,8.06743989839753E+017,https://twitter.com/diyakhatri09876/status/806743989839753219,,
Kuumarrajesh,2016-12-08 10:05,1,2,"@kamaalrkhan rs2 parson have 2m follower , congress sir",,@kamaalrkhan,,8.06718940881691E+017,https://twitter.com/Kuumarrajesh/status/806718940881690624,,
bharat01st,2016-12-08 00:41,0,0,@TajinderBagga Kuch samajh nahi aya paaji! U are Modi follower and he @MohammadKaif is a congress guy??? @AmritanshuGupta,,@TajinderBagga @MohammadKaif @AmritanshuGupta,,8.06577004564845E+017,https://twitter.com/bharat01st/status/806577004564844544,,
priyaaruldoss,2016-12-07 17:05,0,0,@DhivyaDharshini Congress dd akka I am also one of the follower akka iam Priya your big big fan akka plz say I Priya that enough in my lif,,@DhivyaDharshini,,8.06462148373119E+017,https://twitter.com/priyaaruldoss/status/806462148373118976,,
askprasad111,2016-12-06 19:41,1,0,As im one of the true follower of ysr congress please ignore kiran kumarreddy,,,,8.06139002659041E+017,https://twitter.com/askprasad111/status/806139002659041281,,
USbreastfeeding,2016-12-06 09:00,0,1,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.05977565236261E+017,https://twitter.com/USbreastfeeding/status/805977565236260864,,
Congress_pen,2016-12-05 23:34,0,0,Do you know who is awesome? My 1 new follower in the last day! Growing with http://www. crowdfireapp.com/?r=td,,,,8.05835167432589E+017,https://twitter.com/Congress_pen/status/805835167432589316,,
USbreastfeeding,2016-12-05 09:00,4,2,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.05615177328689E+017,https://twitter.com/USbreastfeeding/status/805615177328689157,,
6500Sumit,2016-12-04 18:45,0,0,@AbhayDubey_ @ArvindKejriwal @AAPExpress if they does u kind of people don't have a job I know u r a follower of Congress n I know who u r,,@AbhayDubey_ @ArvindKejriwal @AAPExpress,,8.05400047798153E+017,https://twitter.com/6500Sumit/status/805400047798153216,,
USbreastfeeding,2016-12-04 05:00,1,2,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.0519239200134E+017,https://twitter.com/USbreastfeeding/status/805192392001339397,,
Congress_pen,2016-12-03 23:34,0,0,I gained 1 follower in the last day. You? Know your stats and grow with http://www. crowdfireapp.com/?r=td,,,,8.05110390342513E+017,https://twitter.com/Congress_pen/status/805110390342512641,,
pandithna,2016-12-03 09:57,0,0,@ShatruganSinha U r totally foolish. Stop giving such advises. Kaushik Basu a congress follower to be included. Nonsense.,,@ShatruganSinha,,8.04904972324368E+017,https://twitter.com/pandithna/status/804904972324368384,,
USbreastfeeding,2016-12-03 09:00,0,0,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.04890404139176E+017,https://twitter.com/USbreastfeeding/status/804890404139175936,,
abusedtaxpayer,2016-12-03 00:48,2,0,@SeanParnellUSA Gillibrand is a follower of her master the dead ship who just replaced Dirty Harry in Congress . Shes an idiot.,,@SeanParnellUSA,,8.0476665580929E+017,https://twitter.com/abusedtaxpayer/status/804766655809290243,,
Gravim71,2016-12-02 17:23,2,2,@NaMoKsath She is follower of Congress Where Rapes are Common .. @IloveShivaji @threeinchfooll @SinhaPune @agrwal_akhil,,@NaMoKsath @IloveShivaji @threeinchfooll @SinhaPune @agrwal_akhil,,8.046547428026E+017,https://twitter.com/Gravim71/status/804654742802599936,,
wilraaj,2016-12-01 22:18,0,0,@TimesNow r u follower of congress .r u elected to follow ur predecessor. Set up ur standard,,@TimesNow,,8.04366644575236E+017,https://twitter.com/wilraaj/status/804366644575236096,,
Bilalahmadbhat1,2016-12-01 21:33,0,0,@naqib_irfan @INCIndia @GAMIR_INC @ShujaUH Being the follower of Indian constitution Let us see what congress can do for justice?,,@naqib_irfan @INCIndia @GAMIR_INC @ShujaUH,,8.0435532164071E+017,https://twitter.com/Bilalahmadbhat1/status/804355321640710144,,
ankitaranveerm7,2016-12-01 21:20,3,2,@iamsmithaa hi...I'm also a follower of Congress Party,,@iamsmithaa,,8.04352094828397E+017,https://twitter.com/ankitaranveerm7/status/804352094828396545,,
PratapShetty19,2016-12-01 15:01,0,0,@TimesNow all r educated. Congress follower r doing it for money. Normal people think abt country. They will vote for work not stupidity,,@TimesNow,,8.04256623179002E+017,https://twitter.com/PratapShetty19/status/804256623179001856,,
USbreastfeeding,2016-12-01 09:00,1,0,"Every donation, petition signature, message to Congress , shared resource, and each new fan, friend, or follower can make a real difference!",,,,8.04165628324119E+017,https://twitter.com/USbreastfeeding/status/804165628324118528,,
Congress_pen,2016-11-30 23:34,0,0,"Follower -1, Unfollowers - 0. I didn't know I was this awesome. Get your daily stats via http://www. crowdfireapp.com/?r=td .",,,,8.04023218164081E+017,https://twitter.com/Congress_pen/status/804023218164080640,,
LilLubbie,2016-11-30 04:22,0,1,@Rachismo1 @MattyPGood Not a follower ! It is a disgrace to destroy our flag and Congress should move legislation to ban it!,,@Rachismo1 @MattyPGood,,8.03733434967458E+017,https://twitter.com/LilLubbie/status/803733434967457792,,
OnestlyBrutal,2016-11-30 00:14,1,0,"@bolly_ follower Exactly my point, Modi vs Congress wasn't a battle of equals, it was hardly a battle. Media too was against Congress",,@bolly_,,8.03671003133973E+017,https://twitter.com/OnestlyBrutal/status/803671003133972480,,
OnestlyBrutal,2016-11-30 00:08,0,0,"@bolly_ follower Modi & Congress , Trump & Hillary, opposites of each other, they promise entirely different things. Can't bend mentalities.",,@bolly_,,8.03669391355167E+017,https://twitter.com/OnestlyBrutal/status/803669391355166720,,
Congress_pen,2016-11-28 23:34,0,0,1 daily follower . 0 unfollowers. Crowdfire doesn't miss a trick -via http://www. crowdfireapp.com/?r=td,,,,8.03298449886212E+017,https://twitter.com/Congress_pen/status/803298449886212100,,
ksvenu247,2016-11-28 14:05,0,0,@dineshgrao Renaming Tughlak road in New Delhi was met with lot oppn from his ardent follower Congress . Why then recall his name now.?,,@dineshgrao,,8.03155247547847E+017,https://twitter.com/ksvenu247/status/803155247547846657,,
neillncali,2016-11-27 23:09,0,0,@RichelleCarey Sean Hannity is a joke Blind follower of the party of no Trump campaigned for things Obama wanted but was blocked by congress,,@RichelleCarey,,8.02929741519004E+017,https://twitter.com/neillncali/status/802929741519003649,,
sunilddesai,2016-11-27 14:27,0,0,"@MMSCongress First learn who is follower of Dr Singh, Gandhi ( Congress or BJP) than write filth @drajoykumar @narendramodi",,@MMSCongress @drajoykumar @narendramodi,,8.02798489897865E+017,https://twitter.com/sunilddesai/status/802798489897865217,,
saurabhdave2,2016-11-26 12:51,0,0,"@sunny_ congress Ha ha ha, Tu to senti ho gya, Maine kaha Bio mein Die hard BJP follower likha hai, Aur bhai nhi to bahen hi sahi",,@sunny_,,8.02412067126809E+017,https://twitter.com/saurabhdave2/status/802412067126808581,,
mkpandey67,2016-11-25 20:27,0,1,@P__V_G you talk sensibly. Rahul baba se ho payega. Better you join politics. I am not a congress follower but we need a strong opposition,,@P__V_G,,8.02164361179468E+017,https://twitter.com/mkpandey67/status/802164361179467776,,
arcee42,2016-11-24 18:14,0,1,So ich bin mir sicher dass meine Aussagen zum Thema Congress mich einige Follower kosten werden. Aber hey wat soll's,,,,8.01768336916881E+017,https://twitter.com/arcee42/status/801768336916881408,,
AnuragV97265842,2016-11-24 14:38,0,0,@luvbeinghuman it appears you are a genuine follower of Congress . What makes you do so,,@luvbeinghuman,,8.0171420601387E+017,https://twitter.com/AnuragV97265842/status/801714206013870080,,
Congress_pen,2016-11-23 23:34,0,0,"New day, new tweets, new stats. 1 follower , 0 unfollowers. Via good old http://www. crowdfireapp.com/?r=td",,,,8.01486497853669E+017,https://twitter.com/Congress_pen/status/801486497853669376,,
suman50365326,2016-11-23 16:07,0,0,@narendramodi you are inspiration for all. I am not blindly follower for any party[bjp/ congress /aap/ect..] its not like movie.,,@narendramodi,,8.01374065206247E+017,https://twitter.com/suman50365326/status/801374065206247424,,
hirakjk,2016-11-23 00:17,0,0,@sharmaswati28 @kamaalrkhan how can u expect a #2RsPeople 2 keep his word?He is an Ac+tual follower of Congress n Kejri,,@sharmaswati28 @kamaalrkhan,#2RsPeople,8.01135118534341E+017,https://twitter.com/hirakjk/status/801135118534340608,,
Congress_pen,2016-11-22 23:34,0,0,1 daily follower . 0 unfollowers. Crowdfire doesn't miss a trick -via http://www. crowdfireapp.com/?r=td,,,,8.01124109182706E+017,https://twitter.com/Congress_pen/status/801124109182705664,,
Patel1996Tapan,2016-11-22 20:29,0,0,@Soniadhawn hey Congress for 1k follower,,@Soniadhawn,,8.01077591499108E+017,https://twitter.com/Patel1996Tapan/status/801077591499108356,,
Congress_pen,2016-11-21 23:34,0,0,Stats for the day have arrived. 1 new follower and 3 unfollowers via http://www. crowdfireapp.com/?r=td .,,,,8.00761717886161E+017,https://twitter.com/Congress_pen/status/800761717886160896,,
sajjan36,2016-11-21 16:05,0,0,"@BrainandMoney : of course congress party enjoyed the power for longest period so congress , its leader , follower "" kha gaye garibo ka hak"";;@BrainandMoney;;""800648903775293440",https://twitter.com/sajjan36/status/800648903775293440,,,,,,
GOPPollAnalyst,2016-11-21 04:11,6,15,. @BrendanNyhan I'm really glad I wasn't judged by my follower #when I released #Stonetear on Twitter. It wouldn't have made it to Congress .,,@BrendanNyhan,#when #Stonetear,8.00469238964191E+017,https://twitter.com/GOPPollAnalyst/status/800469238964191232,,
stevelatimer,2016-11-21 00:42,0,0,"@keithellison Muslim Brotherhood, Farrakhan follower , 1st Muslim elected to Congress , what else? @StephenBannon",,@keithellison @StephenBannon,,8.00416485957104E+017,https://twitter.com/stevelatimer/status/800416485957103616,,
Congress_pen,2016-11-20 23:34,0,0,Wondering how to grow on twitter? I gained 1 follower in the past day. This is the app: http://www. crowdfireapp.com/?r=td,,,,8.00399344805368E+017,https://twitter.com/Congress_pen/status/800399344805367808,,
anurajsingh21,2016-11-20 20:37,0,1,@rajsan2016 modi modi kar k follower bana k ab ye congress AAP ka agent ban un se Maal kama raha hai @amritabhinder,,@rajsan2016 @amritabhinder,,8.00354845584687E+017,https://twitter.com/anurajsingh21/status/800354845584687105,,
Congress_pen,2016-11-19 23:34,0,0,I gained 1 follower in the last day. You? Know your stats and grow with http://www. crowdfireapp.com/?r=td,,,,8.00036937444786E+017,https://twitter.com/Congress_pen/status/800036937444786181,,
aplogmumbai,2016-11-19 22:12,0,0,A humble req to who prefer cong ideology dnt follow narendramodi group bcoz when u find his follower list maximum r congress ideology persom,,,,8.00016463486743E+017,https://twitter.com/aplogmumbai/status/800016463486742529,,
reg_christian,2016-11-19 16:57,0,0,Congress and their follower should clean their dirty brain and at least 70 years after work for country... http:// fb.me/7vXCNdYqP,,,,7.99937116310475E+017,https://twitter.com/reg_christian/status/799937116310474752,,
KuntalSarma,2016-11-19 13:20,0,0,Someone tell this idiotic follower of Pappu tht ULFA was formed due to Congress 's policies in Assam. Digboi in Tinsukia https:// twitter.com/Samar_Anarya/s tatus/799850185899679744 …,,,,7.99882440223244E+017,https://twitter.com/KuntalSarma/status/799882440223244290,,
idle_kenyan,2016-11-18 17:28,3,3,Follow recent follower KANU Youth Congress & Join 'Team 500 KE' on Facebook :-) #GainWithXtiandela #GainWithYahBoiSelfie,,,#GainWithXtiandela #GainWithYahBoiSelfie,7.99582474485567E+017,https://twitter.com/idle_kenyan/status/799582474485567488,,
