username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,,
piyushpandit,2016-12-30 02:50,0,0,"“Dont Run Away, Come, Explain The Funding of Your Party” Yogendra Yadav Challenge Arvind Kejriwal http:// ln.is/postcard.news/ cGbXu … via @postcard_news",,@postcard_news,,8.14581904590729E+017,https://twitter.com/piyushpandit/status/814581904590729217,,,
VeeJay_tweets,2016-12-30 02:45,2,3,@Being_Humor @tweetfromRaghu Kejriwal taught me not to spread rumours pic.twitter.com/1Y1T4FPMnc,,@Being_Humor @tweetfromRaghu,,8.14580558105903E+017,https://twitter.com/VeeJay_tweets/status/814580558105903104,,,
iam_bapss,2016-12-30 02:40,0,0,one more kejriwal ...using @narendramodi name for self publicity.. kya din aaye hai https:// twitter.com/sardesairajdee p/status/814418018201702400 …,,@narendramodi,,8.14579463774093E+017,https://twitter.com/iam_bapss/status/814579463774093312,,,
digitalmind369,2016-12-30 02:39,0,0,Arnab Goswami Trolled Arvind Kejriwal on demonetisation at IIT Bombay https:// youtu.be/-D1XmQHjEUk @YouTube #Welcome2017AtTheLalit,,@YouTube,#Welcome2017AtTheLalit,8.14579143887229E+017,https://twitter.com/digitalmind369/status/814579143887228928,,,
digitalmind369,2016-12-30 02:39,0,0,Arnab Goswami Trolled Arvind Kejriwal on demonetisation at IIT Bombay https:// youtu.be/-D1XmQHjEUk @YouTube #NamoBestPMOfIndia #RGDemands,,@YouTube,#NamoBestPMOfIndia #RGDemands,8.14579063557857E+017,https://twitter.com/digitalmind369/status/814579063557857280,,,
digitalmind369,2016-12-30 02:38,5,1,Arnab Goswami Trolled Arvind Kejriwal on demonetisation at IIT Bombay https:// youtu.be/-D1XmQHjEUk via @YouTube WE NEED OUR JALLIKATTU Rs 105,,@YouTube,,8.14578790001234E+017,https://twitter.com/digitalmind369/status/814578790001233920,,,
digitalmind369,2016-12-30 02:37,1,0,Arnab Goswami Trolled Arvind Kejriwal on demonetisation at IIT Bombay https:// youtu.be/-D1XmQHjEUk @YouTube #NamoBestPMOfIndia Shivpal Yadav,,@YouTube,#NamoBestPMOfIndia,8.14578522836574E+017,https://twitter.com/digitalmind369/status/814578522836574208,,,
digitalmind369,2016-12-30 02:35,0,1,Arnab Goswami Trolled Arvind Kejriwal on demonetisation at IIT Bombay https:// youtu.be/-D1XmQHjEUk via @YouTube #SRKGreatestMoments2016 Rohan,,@YouTube,#SRKGreatestMoments2016,8.14578123593355E+017,https://twitter.com/digitalmind369/status/814578123593355265,,,
digitalmind369,2016-12-30 02:34,0,0,Arnab Goswami Trolled Arvind Kejriwal on demonetisation at IIT Bombay https:// youtu.be/-D1XmQHjEUk via @YouTube #NamoBestPMOfIndia,,@YouTube,#NamoBestPMOfIndia,8.14577913072939E+017,https://twitter.com/digitalmind369/status/814577913072939008,,,
raisahab_ballia,2016-12-30 02:26,0,0,Retweeted PhD in Bak*****!! ( @Atheist_Krishna ): After Amarinder Singh dares Arvind Kejriwal to contest against... http:// fb.me/5lj0LSSsy,,@Atheist_Krishna,,8.14575896594157E+017,https://twitter.com/raisahab_ballia/status/814575896594157568,,,
drsandip11,2016-12-30 02:26,0,1,@_YogendraYadav @thestatesman I don't think so.. let's see.. Jung never said such things Neither he blamed modi nor Kejriwal,,@_YogendraYadav @thestatesman,,8.14575870648132E+017,https://twitter.com/drsandip11/status/814575870648131585,,,
restodehistoria,2016-12-30 02:25,0,0,"Amarinder Singh, Arvind Kejriwal fall out on Twitter over Punjab polls - Business Standard http:// ift.tt/2hx7nis",,,,8.14575622605435E+017,https://twitter.com/restodehistoria/status/814575622605434880,,,
intutive9,2016-12-30 02:22,0,0,@rajeevnbg is kejriwal ure god lol,,@rajeevnbg,,8.14574864539349E+017,https://twitter.com/intutive9/status/814574864539348992,,,
shivang_23,2016-12-30 02:17,0,0,I added a video to a @YouTube playlist http:// youtu.be/Ij0qfPx7YMk?a We will kill Kejriwal - Swami Om ji,,@YouTube,,8.14573685814207E+017,https://twitter.com/shivang_23/status/814573685814206464,,,
Varun103,2016-12-30 02:15,0,0,This viral conspiracy theory that says Arvind Kejriwal is ‘planted’ by Amit Shah will leave you in splits http:// fb.me/8sFBfth4U,,,,8.14573029204357E+017,https://twitter.com/Varun103/status/814573029204357120,,,
jassiitech,2016-12-30 02:14,0,0,@ArvindKejriwal ASK CAPT SHAIB IS JAITLY KNOW EVERYTHING ABOUT PUNJAB? PUNJAB IS IN USA THAT KEJRIWAL NOT KNOWN ABOUT PUNJAB ?,,@ArvindKejriwal,,8.14572935599882E+017,https://twitter.com/jassiitech/status/814572935599882240,,,
sh153541,2016-12-30 02:13,0,0,.You will never vote kejriwal after watching this video kejriwal all u tu... https:// youtu.be/yPOMVS_tfB8 via @YouTube,,@YouTube,,8.1457264465367E+017,https://twitter.com/sh153541/status/814572644653670400,,,
RAHULKANDWAR,2016-12-30 02:10,0,0,Retweeted Arvind Kejriwal ( @ArvindKejriwal ): Did road show in Majitha constituency. What response! Bikram singh... http:// fb.me/1PwkgTBFe,,@ArvindKejriwal,,8.14571824503779E+017,https://twitter.com/RAHULKANDWAR/status/814571824503779328,,,
Mastersaheb2015,2016-12-30 02:10,0,0,"‘AAP is a party of PAAP’ Swamy alleges Kejriwal of Corruption, Twitter war is ON https:// mastersaheb.com/aap-is-a-party -of-paap-swamy-starts-a-twitter-war/ … via @mastersaheb2015",,@mastersaheb2015,,8.14571784448004E+017,https://twitter.com/Mastersaheb2015/status/814571784448004096,,,
RAHULKANDWAR,2016-12-30 02:06,1,0,Retweeted Richa Pandey Mishra ( @richapandey ): Voting for Congress is like voting for Majithia: Arvind Kejriwal ... http:// fb.me/33jkbTFd2,,@richapandey,,8.14570751118418E+017,https://twitter.com/RAHULKANDWAR/status/814570751118417920,,,
RAHULKANDWAR,2016-12-30 02:06,1,0,Retweeted Richa Pandey Mishra ( @richapandey ): Assam court summons Arvind Kejriwal for his defamatory remarks... http:// fb.me/tX8eFrER,,@richapandey,,8.14570742591394E+017,https://twitter.com/RAHULKANDWAR/status/814570742591393792,,,
RAHULKANDWAR,2016-12-30 02:05,0,0,Retweeted Richa Pandey Mishra ( @richapandey ): Don’t give Majithia another chance- Kejriwal ... http:// fb.me/8DuvgtDiY,,@richapandey,,8.14570478396436E+017,https://twitter.com/RAHULKANDWAR/status/814570478396436480,,,
bharatBharati3,2016-12-30 02:01,5,5,"“Don’t Run Away, Come, Explain Funding of Your Party” Yogendra Yadav Challenges Arvind Kejriwal http:// postcard.news/dont-run-away- come-explain-funding-party-yogendra-yadav-challenges-arvind-kejriwal/ … via @postcard_news",,@postcard_news,,8.14569440478187E+017,https://twitter.com/bharatBharati3/status/814569440478187524,,,
TheSaahilSharma,2016-12-30 01:59,0,0,@AnupamPkher #HonestlySpeaking arvind kejriwal is a great politician and doing great job too!! #totallyagree,,@AnupamPkher,#HonestlySpeaking #totallyagree,8.14569064580272E+017,https://twitter.com/TheSaahilSharma/status/814569064580272128,,,
ape_me,2016-12-30 01:54,0,0,@Minister_Edu @KapilMishraAAP Guess Kejriwal kiske baap ka pic.twitter.com/0OaZvjoY3T,,@Minister_Edu @KapilMishraAAP,,8.14567844193022E+017,https://twitter.com/ape_me/status/814567844193021952,,,
JordanSpezzafer,2016-12-30 01:54,0,0,"You are fighting me, not Badals? Arvind Kejriwal asks Amarinder Singh",,,,8.14567691621048E+017,https://twitter.com/JordanSpezzafer/status/814567691621048320,,,
MateenAap,2016-12-30 01:52,1,0,"Arvind Kejriwal to release Delhi Assembly calendars and diary fr Yr 2017 under series titled ‘Heritage of Delhi’,on 31st Dec at 12:30 pm",,,,8.1456736772857E+017,https://twitter.com/MateenAap/status/814567367728570368,,,
11spdubey,2016-12-30 01:52,0,0,Kejriwal ji book likhane se kya hoga. Modi bhakt ban jaeye. Aapka kalayan ho jayega. 31st December Ko Bara Gubbara fatane wala hai. Sawadhan https:// twitter.com/TrollKejri/sta tus/814382615440433152 …,,,,8.14567301903164E+017,https://twitter.com/11spdubey/status/814567301903163393,,,
RohitBhargava03,2016-12-30 01:51,0,0,@ArvindKejriwal fuck u Kejriwal kutte u ruined Delhi,,@ArvindKejriwal,,8.14567121791423E+017,https://twitter.com/RohitBhargava03/status/814567121791422466,,,
JagbaniOnline,2016-12-30 01:50,0,1,ਕੇਜਰੀਵਾਲ ਨੇ ਮਜੀਠੀਆ ਨੂੰ ਹਰਾਉਣ ਦਾ ਕੀਤਾ ਦਾਅਵਾ Arvind Kejriwal Bikram Singh Majithia #Amritsar #HimatSinghShergill http:// fb.me/1OzNFeSIP,,,#Amritsar #HimatSinghShergill,8.14566692034646E+017,https://twitter.com/JagbaniOnline/status/814566692034646016,,,
raahulworld2009,2016-12-30 01:49,0,1,@kejriwaifan what governance? kejriwal n his ministers are out of Delhi,,@kejriwaifan,,8.14566585977475E+017,https://twitter.com/raahulworld2009/status/814566585977475072,,,
BeingReva,2016-12-30 01:48,39,45,Arnab Goswami Praised Modi and Badly Insults Arvind Kejriwal in Full Public https://www. youtube.com/watch?v=RHURpw pFh5c&feature=share …,,,,8.1456629604615E+017,https://twitter.com/BeingReva/status/814566296046149632,,,
sailorsmoon,2016-12-30 01:46,2,4,"If Kejriwal is actually what he looks like, he must be having a real feae in mind that on 31st address Modi will takeover Delhi from him.",,,,8.14565736228225E+017,https://twitter.com/sailorsmoon/status/814565736228225026,,,
trumplovesameri,2016-12-30 01:45,0,0,@OfficeOfArjun @ArvindKejriwal Uss logic se gand dhote waqt bhi Kejriwal,,@OfficeOfArjun @ArvindKejriwal,,8.145654854255E+017,https://twitter.com/trumplovesameri/status/814565485425500160,,,
BeingSrimay,2016-12-30 01:34,0,1,"@ArvindKejriwal At Delhi airport asked a shopkeeper about Kejriwal and demonetization. He smiled and said, ' Kejriwal ka satak gaya hai'",,@ArvindKejriwal,,8.14562844691677E+017,https://twitter.com/BeingSrimay/status/814562844691677185,,,
SaptorshiDey,2016-12-30 01:34,0,0,"Special forces veteran Major Surendra Poonia slams Kejriwal , left and award wapasi gang for their ""biggest... http:// fb.me/5HeEpl1B3",,,,8.14562827289657E+017,https://twitter.com/SaptorshiDey/status/814562827289657344,,,
deepaksaini138,2016-12-30 01:32,0,0,@JhaSanjay Ask your son Kejriwal Where is Lokpal which he promised to pass on 29th Dec?,,@JhaSanjay,,8.14562144503157E+017,https://twitter.com/deepaksaini138/status/814562144503156736,,,
taruncoolgemini,2016-12-30 01:31,0,0,@amitkumar13557 @ashu3page @ArvindKejriwal Will Kejriwal speak abt 35 Cr?,,@amitkumar13557 @ashu3page @ArvindKejriwal,,8.14562005390541E+017,https://twitter.com/taruncoolgemini/status/814562005390540800,,,
el_mag1,2016-12-30 01:29,0,0,@Leopard212 - please praise Kejriwal and Sonia as well..... Whole country will support a Bharat Ratna for you .... #Leopardmet https:// twitter.com/Leopard212/sta tus/814547879113043968 …,,@Leopard212,#Leopardmet,8.14561402631455E+017,https://twitter.com/el_mag1/status/814561402631454721,,,
SChchaa,2016-12-30 01:27,0,1,@KejriwaIFan bc Kejriwal ke fan bache h Kya abhi tak bhi?,,@KejriwaIFan,,8.14560875856232E+017,https://twitter.com/SChchaa/status/814560875856232450,,,
BhartianAPI,2016-12-30 01:23,0,0,Amrinder Singh Challenged Kejriwal To Fight Election Against Him: http:// youtu.be/ooCicUzv-GA?a via @YouTube,,@YouTube,,8.14560018708201E+017,https://twitter.com/BhartianAPI/status/814560018708201473,,,
BlueMoor,2016-12-30 01:23,0,0,But ye toh chehre se hi junior Modi lagra. God bless Kejriwal ! https:// twitter.com/imAbhishek_J/s tatus/814152376407834624 …,,,,8.14559960147358E+017,https://twitter.com/BlueMoor/status/814559960147357696,,,
sarda_manish,2016-12-30 01:21,0,0,@s_navroop well ...seems 360 degree spin is coming up ..!! More entertaining than kejriwal & pappu ..!!,,@s_navroop,,8.1455954364443E+017,https://twitter.com/sarda_manish/status/814559543644430336,,,
BlackSamurai18,2016-12-30 01:15,0,0,@TheViralFever You are bjp modi agent = kejriwal,,@TheViralFever,,8.14558076292465E+017,https://twitter.com/BlackSamurai18/status/814558076292464640,,,
hereBohemia,2016-12-30 01:13,0,1,I was Kejriwal supporter turned into Modi supporter #namobestpmofindia #आप_की_औकात,,,#namobestpmofindia #,8.14557590684201E+017,https://twitter.com/hereBohemia/status/814557590684200961,,,
amit5362,2016-12-30 01:09,0,0,@AcheLadki @Ra_Bies Arvind Kejriwal kindly look in this matter...,,@AcheLadki @Ra_Bies,,8.14556488647643E+017,https://twitter.com/amit5362/status/814556488647643136,,,
SirRohitSharma_,2016-12-30 01:09,1,2,This is Epic... PM Modi Showing #आप_की_औकात to Arvind Kejriwal #PartyTohBantiHai #RGDemands #NamoBestPMOfIndia pic.twitter.com/8FxKNNAWw5,,,# #PartyTohBantiHai #RGDemands #NamoBestPMOfIndia,8.14556394519204E+017,https://twitter.com/SirRohitSharma_/status/814556394519203840,,,
ilikeshock,2016-12-30 01:07,0,0,"Very well done #pmoindia #namo #PM ""Rs 4,172"" but not you #kejriwal asking for people's money. #ilikeit #ilikeshock",,,#pmoindia #namo #PM #kejriwal #ilikeit #ilikeshock,8.14555868469469E+017,https://twitter.com/ilikeshock/status/814555868469469184,,,
xannaxx96,2016-12-30 01:06,0,0,New year ka kya plan hai? Kejriwal : pic.twitter.com/zfMi5Vww87 #lol #funny #comedy #rofl #love,,,#lol #funny #comedy #rofl #love,8.14555610259816E+017,https://twitter.com/xannaxx96/status/814555610259816448,,,
geetv79,2016-12-30 01:06,5,5,@geetv79 @siona_gogoi @Arora_Sneha01 @rkhuria @gops333 @Rajivmehra27 The Poster of One Who is Not Contesting in Punjab #भाग_ Kejriwal _भाग pic.twitter.com/eYH09ynI8v,,@geetv79 @siona_gogoi @Arora_Sneha01 @rkhuria @gops333 @Rajivmehra27,#,8.14555598406631E+017,https://twitter.com/geetv79/status/814555598406631424,,,
sehiashok,2016-12-30 01:04,0,0,A must watch interview.........Arvind Kejriwal 's Latest Interview on current issue in india 2016 https:// youtu.be/Dnseo7uFfz0 via @YouTube,,@YouTube,,8.14555287336141E+017,https://twitter.com/sehiashok/status/814555287336140800,,,
pahal_hardeep,2016-12-30 00:59,0,1,Kejriwal bhai sahib aap Fatehgahd sahib se BABBU MAAN ko Umeedwar bnao Sabse jada wote milega usko Wo Punjab ka heero hai,,,,8.1455382489566E+017,https://twitter.com/pahal_hardeep/status/814553824895660032,,,
