username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
Payal091,2016-03-12 09:47,0,0,@iAnkurSingh @PradnyaLotlikar one delhi MP is AOL follower & very close to Sri Sri. He was given ticket just bcs of Sri Sri influence in BJP,,@iAnkurSingh @PradnyaLotlikar,,7.0850707451938E+017,https://twitter.com/Payal091/status/708507074519379968,
chethanmallalli,2016-03-11 13:41,0,0,@PMOIndia Regularly going to death of Formers taking poison please observe over Karnataka. From BJP follower . pic.twitter.com/Z11TWsXsq6,,@PMOIndia,,7.08203645678957E+017,https://twitter.com/chethanmallalli/status/708203645678956545,
anuj_4u,2016-03-11 11:50,0,0,"@PMOIndia sir as a pro bjp , follower of your ideologies I fail to understand the stand you took back then and now. pic.twitter.com/OlgIvuM40N",,@PMOIndia,,7.08175645847585E+017,https://twitter.com/anuj_4u/status/708175645847584769,
Xarmymishra,2016-03-11 09:11,0,0,"Please get united to discourage these antinationals to attract political will power, let them name chamcha or follower of modi, bjp ,rss etc",,,,7.08135764379439E+017,https://twitter.com/Xarmymishra/status/708135764379439104,
Aaditya_BJP,2016-03-11 01:39,0,0,Just the one new follower today found welcome tracked by http:// unfollowspy.com,,,,7.08021859678167E+017,https://twitter.com/Aaditya_BJP/status/708021859678167040,
Xarmymishra,2016-03-10 21:48,0,0,"Any nationalist speech, act and behavior is termed as follower of rss, bjp , modi. Does not matter. Let us keep on doing it for nation,",,,,7.07963743783817E+017,https://twitter.com/Xarmymishra/status/707963743783817216,
RajaSheikh1970,2016-03-10 20:57,0,0,"Mano ya Na mano .................. Desh sabkuch thik nahi he Bhat ashanti feil chuka he , ishki jimedary follower party bjp ke wajah se",,,,7.07951121201889E+017,https://twitter.com/RajaSheikh1970/status/707951121201889280,
nits4994,2016-03-10 19:43,0,0,@rsprasad sir I m a BJP and NaMo follower . But saddened by the quality of network of both fixed BSNL and mobile BSNL at my place Bijapur.,,@rsprasad,,7.07932352421364E+017,https://twitter.com/nits4994/status/707932352421363712,
VijayakumarKan8,2016-03-10 11:14,0,0,I---* follower of BJP Truer. To our Nation. Beliver in Hinduism,,,,7.07804317462487E+017,https://twitter.com/VijayakumarKan8/status/707804317462487041,
iSusuSwamy,2016-03-09 18:04,0,2,@bhavesh08081976 aa gaya APCO troll 8 follower wala gaand jalgayi BJP IT Cell ki,,@bhavesh08081976,,7.07545211459801E+017,https://twitter.com/iSusuSwamy/status/707545211459801088,
govindverma1940,2016-03-09 16:23,0,0,"It was not against BJP Govt that's why no action,only to oppose any thing pro-govt, we are Congi secularist follower https:// twitter.com/drshobha/statu s/707515897984917505 …",,,,7.07519799434195E+017,https://twitter.com/govindverma1940/status/707519799434194948,
durgadharbaniah,2016-03-08 22:24,0,0,We are ardent follower of BJP,,,,7.07248165951377E+017,https://twitter.com/durgadharbaniah/status/707248165951377408,
andamani54,2016-03-08 20:04,11,7,@SumedhaSarv @SitaramYechury Heard ur speech in RS .Can u comment on killing of Rss/ BJP follower in Kerala by leftist ? Double talk,,@SumedhaSarv @SitaramYechury,,7.07212872338776E+017,https://twitter.com/andamani54/status/707212872338776065,
sankymetta,2016-03-08 17:18,0,0,Modi PDP Afzal Guru Innocent BJP follower Modi But Innocent BJP follower 󾬎 Afzal Guru http:// fb.me/SqHSxJMf,,,,7.07171076250296E+017,https://twitter.com/sankymetta/status/707171076250296320,
yogeshattri2010,2016-03-07 21:36,0,0,"@narendramodi sir, I really admire u..n I really follower of bjp bcoz of u.....my ideology match with BJP ...",,@narendramodi,,7.06873546979418E+017,https://twitter.com/yogeshattri2010/status/706873546979418113,
GURUCHA84787343,2016-03-07 19:03,0,0,@narendramcdi sir BJP government means our govt. I m big follower of you. Sir please instruct to jharkhand govt to Inspect my village thanks,,@narendramcdi,,7.06835164245004E+017,https://twitter.com/GURUCHA84787343/status/706835164245004288,
myindianhope,2016-03-07 16:30,0,0,@IamIndian4alwyZ Why every BJP follower need to use this sentence.,,@IamIndian4alwyZ,,7.06796679786136E+017,https://twitter.com/myindianhope/status/706796679786135553,
mi_Pranay,2016-03-07 12:00,0,0,Indian super PM @narendramodi is the most popular person of #DigitalWorld Gets a follower every 3 seconds.!! #BJP #MakeInIndia,,@narendramodi,#DigitalWorld #BJP #MakeInIndia,7.06728836918964E+017,https://twitter.com/mi_Pranay/status/706728836918964224,
amz360,2016-03-07 09:29,0,0,"Stalin and Mao follower saying this is cute! "" BJP regime similar to Hitler's fascist model, Sitaram Yechury says http:// toi.in/KGdVhY95 "";;;;""706690715103789056",https://twitter.com/amz360/status/706690715103789056,,,,,
mahaswai36,2016-03-07 08:33,1,0,"@arunjaitley sir, i am a follower of bjp i support every move of bjp . but i can not accept the interest on PF. pl withdraw,",,@arunjaitley,,7.06676504931906E+017,https://twitter.com/mahaswai36/status/706676504931905536,
shikha_sharan,2016-03-06 16:32,0,0,"@nanditadas @ArunSFan why he came back from prison :'( criticising BJP and great follower of Kejriwal,Pappu and rest betrayers",,@nanditadas @ArunSFan,,7.06434762303386E+017,https://twitter.com/shikha_sharan/status/706434762303385600,
XPoseMushRSS,2016-03-06 12:19,0,0,"Cong has guts while BJP has JaITALY, #MittikaMadhav and a meek follower @narendramodi https:// twitter.com/madhukishwar/s tatus/706362404842569733 …",,@narendramodi,#MittikaMadhav,7.06371088666657E+017,https://twitter.com/XPoseMushRSS/status/706371088666656768,
shahidalii,2016-03-06 00:21,0,0,@aruns_nambiar i read there and i know how they brainwash young mind and made them follower of bjp,,@aruns_nambiar,,7.06190290533528E+017,https://twitter.com/shahidalii/status/706190290533527554,
deadpoolitics,2016-03-04 23:44,1,2,"You can threaten,you can abuse , you can beat,you can even kill but for that u have to be a deshbhakt and a follower of bjp #FreedomInIndia",,,#FreedomInIndia,7.05818784620089E+017,https://twitter.com/deadpoolitics/status/705818784620089344,
rulefootball,2016-03-04 23:24,0,0,@rsrikrsna @VishnuNDTV And for once don't be a blind follower of BJP and find concrete proof if he really is guilty or not.,,@rsrikrsna @VishnuNDTV,,7.05813726910222E+017,https://twitter.com/rulefootball/status/705813726910222336,
jkd_follower,2016-03-04 20:14,0,0,"Sukhnandan Kumar ( BJP ) Address, Phone Number, Email, Website http:// jammukashmirdirectory.com/sukhnandan-kum ar-bjp-address-phone-number-email-website/ …",,,,7.05765789077369E+017,https://twitter.com/jkd_follower/status/705765789077368832,
nationalism79,2016-03-04 13:50,0,0,"@alok_ajay Your speech in the debates is very effective, I am a follower of BJP but then to i appreciate ur motivational debate.",,@alok_ajay,,7.05669108117987E+017,https://twitter.com/nationalism79/status/705669108117987328,
aasmrity,2016-03-04 12:55,2,2,"@MrsGandhi I see a strong BJP follower talking here. And btw just because you pay tax, he owe you nothing. Nothing at all.",,@MrsGandhi,,7.05655301400166E+017,https://twitter.com/aasmrity/status/705655301400166401,
dangkaran,2016-03-04 05:47,0,0,@Aryalovesyou @eeeeeeeeesha you r indeed a great follower i must say.. Doing exactly what BJP is doing. Its called difference in opinion1/2,,@Aryalovesyou @eeeeeeeeesha,,7.05547724003922E+017,https://twitter.com/dangkaran/status/705547724003921920,
VarunVarun951,2016-03-03 16:48,0,0,@ravibans sri sri ke follower to himdu BJP ka votebank hai AAP ka nhi,,@ravibans,,7.05351680670347E+017,https://twitter.com/VarunVarun951/status/705351680670347264,
gkpgulshan,2016-03-03 09:53,0,1,@narendramodi Sir I'm hard core BJP follower Tax on PF must be withdrawn enjoying ur governance but SBC & Now another I need MIN not taxes,,@narendramodi,,7.05247234024088E+017,https://twitter.com/gkpgulshan/status/705247234024087552,
BpandyaB,2016-03-02 23:05,0,0,im not blind follower of any political party but Atleast Bjp doesnt sell its own nation unlike Congress !,,,,7.05084135841374E+017,https://twitter.com/BpandyaB/status/705084135841374214,
skjain8v,2016-03-02 16:38,0,0,@narendramodi we are a hardcore follower of BJP . But due to Tax on EPF we will louse more than 25% of our votes & confidence.,,@narendramodi,,7.04986803992793E+017,https://twitter.com/skjain8v/status/704986803992793091,
VedSanjay,2016-03-02 13:18,0,0,"@BJP _live_now @ATrivedi75 @KailashOnline A boy with 13 follower will teach india how to follow & whom ???haaaa shame !! trivedi ji ,...",,@BJP @ATrivedi75 @KailashOnline,,7.04936382716887E+017,https://twitter.com/VedSanjay/status/704936382716887041,
Aaditya_BJP,2016-03-02 01:42,0,0,Just the one new follower today found welcome tracked by http:// unfollowspy.com,,,,7.0476126111692E+017,https://twitter.com/Aaditya_BJP/status/704761261116919808,
